Plan,Building,Tier,Category,Production Time,Resource Type,Resource,Resource Quantity,Resource Dependency
Master,Bakery,1,Bread,N/A,Build Resource,Plank,8,Sawmill
Master,Bakery,1,Bread,N/A,Build Resource,Stone,6,Quarry
Islands,Bamboo Factory*,5,Timber,N/A,Input Resource,Bamboo*,2,Bamboo Plantation*
Islands,Rum Distillery*,6,Rum,N/A,Input Resource,Bamboo*,1,Bamboo Plantation*
Master,Bakery,1,Bread,N/A,Maintenance Resource,Fish,2,Fishery
Master,Bakery,1,Bread,N/A,Maintenance Resource,Water,2,Well
Mountains,Pillar**,6,Pillar,2,Output Resource,Any**,1,N/A
Master,Brewery,1,Beer,N/A,Build Resource,Plank,4,Sawmill
Master,Brewery,1,Beer,N/A,Build Resource,Stone,3,Quarry
Islands,Fried Banana Kitchen*,6,Fried Banana,N/A,Input Resource,Banana*,1,Banana Farm*
Mountains,Water Mill**,7,Bread,N/A,Input Resource,Barley**,1,Barley Farm**
Master,Brewery,1,Beer,N/A,Maintenance Resource,Fish,2,Fishery
Master,Brewery,1,Beer,N/A,Maintenance Resource,Water,2,Well
Islands,Bamboo Plantation*,5,Timber,30,Output Resource,Bamboo*,2,N/A
Master,Sheep Farm,1,Clothes,N/A,Build Resource,Plank,4,Sawmill
Master,Sheep Farm,1,Clothes,N/A,Build Resource,Stone,3,Quarry
Mountains,Horse Farm**,7,Horse,N/A,Input Resource,Barley**,3,Barley Farm**
Master,Sheep Farm,1,Clothes,N/A,Maintenance Resource,Fish,1,Fishery
Master,Sheep Farm,1,Clothes,N/A,Maintenance Resource,Water,1,Well
Islands,Banana Farm*,6,Fried Banana,31,Output Resource,Banana*,2,N/A
Master,Sewing Workshop,1,Clothes,N/A,Build Resource,Plank,8,Sawmill
Master,Sewing Workshop,1,Clothes,N/A,Build Resource,Stone,6,Quarry
Mountains,Pig Farm**,9,Sausages,N/A,Input Resource,Barley**,2,Barley Farm**
Master,Sewing Workshop,1,Clothes,N/A,Maintenance Resource,Fish,2,Fishery
Master,Sewing Workshop,1,Clothes,N/A,Maintenance Resource,Water,2,Well
Mountains,Barley Farm**,7,Bread,31,Output Resource,Barley**,2,N/A
Master,Clay Pit,1,Brick,N/A,Build Resource,Plank,4,Sawmill
Master,Clay Pit,1,Brick,N/A,Build Resource,Stone,3,Quarry
Mountains,Chain Factory**,9,Steam Engine,N/A,Input Resource,Barley**,2,Barley Farm**
Master,Clay Pit,1,Brick,N/A,Maintenance Resource,Bread,1,Bakery
Master,Clay Pit,1,Brick,N/A,Maintenance Resource,Beer,1,Brewery
Master,Clay Pit,1,Brick,N/A,Maintenance Resource,Clothes,1,Sewing Workshop
Mountains,Water Mill**,7,Bread,30,Output Resource,Barley Meal**,2,N/A
Master,Steam Clay Pit,1,Brick,N/A,Build Resource,Plank,8,Sawmill
Master,Steam Clay Pit,1,Brick,N/A,Build Resource,Stone,6,Quarry
Master,Steam Clay Pit,1,Brick,N/A,Build Resource,Steam Engine,2,Steam Engine Factory
Mountains,Whiskey Distillery**,10,Whiskey,N/A,Input Resource,Barley**,1,Barley Farm**
Master,Steam Clay Pit,1,Brick,N/A,Maintenance Resource,Steam Engine,1,Steam Engine Factory
Mountains,Bean Farm**,10,Bean Pie,31,Output Resource,Bean**,2,N/A
Master,Brick Factory,1,Brick,N/A,Build Resource,Plank,8,Sawmill
Master,Brick Factory,1,Brick,N/A,Build Resource,Stone,6,Quarry
Mountains,Bakery**,7,Bread,N/A,Input Resource,Barley Meal**,2,Water Mill**
Master,Brick Factory,1,Brick,N/A,Maintenance Resource,Bread,2,Bakery
Master,Brick Factory,1,Brick,N/A,Maintenance Resource,Beer,2,Brewery
Master,Brick Factory,1,Brick,N/A,Maintenance Resource,Clothes,2,Sewing Workshop
Mountains,Bakery***,10,Bread,45,Output Resource,Bean Pie**,2,N/A
Master,Pillar,2,Pillar,N/A,Build Resource,Plank,3,Sawmill
Master,Pillar,2,Pillar,N/A,Build Resource,Stone,1,Quarry
Mountains,Bakery***,10,Bread,N/A,Input Resource,Bean**,1,Bean Farm**
Master,Pillar,2,Pillar,N/A,Maintenance Resource,None,0,None
Master,Cattle Farm,4,Canned Food,31,Output Resource,Beef,2,N/A
Master,Pig Farm,2,Sausages,N/A,Build Resource,Plank,6,Sawmill
Master,Pig Farm,2,Sausages,N/A,Build Resource,Stone,5,Quarry
Master,Cannery,4,Canned Food,N/A,Input Resource,Beef,1,Cattle Farm
Islands,Tortilla Kitchen*,7,Tortilla,N/A,Input Resource,Beef*,1,Cattle Farm*
Master,Pig Farm,2,Sausages,N/A,Maintenance Resource,Bread,1,Bakery
Master,Pig Farm,2,Sausages,N/A,Maintenance Resource,Beer,1,Brewery
Master,Pig Farm,2,Sausages,N/A,Maintenance Resource,Clothes,1,Sewing Workshop
Islands,Cattle Farm*,7,Canned Food,31,Output Resource,Beef*,2,N/A
Master,Butchery,2,Sausages,N/A,Build Resource,Plank,12,Sawmill
Master,Butchery,2,Sausages,N/A,Build Resource,Brick,6,Brick Factory
Master,World Exhibition,8,World Exhibition,N/A,Input Resource,Beer,150,Brewery
Master,Butchery,2,Sausages,N/A,Maintenance Resource,Bread,2,Bakery
Master,Butchery,2,Sausages,N/A,Maintenance Resource,Beer,2,Brewery
Master,Butchery,2,Sausages,N/A,Maintenance Resource,Clothes,2,Sewing Workshop
Master,Brewery,1,Beer,45,Output Resource,Beer,2,N/A
Master,Potato Farm,2,Moonshine,N/A,Build Resource,Plank,6,Sawmill
Master,Potato Farm,2,Moonshine,N/A,Build Resource,Stone,5,Quarry
Master,Steel Mission,0,Port,N/A,Input Resource,Beer,1,Brewery
Master,Potato Farm,2,Moonshine,N/A,Maintenance Resource,Bread,1,Bakery
Master,Potato Farm,2,Moonshine,N/A,Maintenance Resource,Beer,1,Brewery
Master,Potato Farm,2,Moonshine,N/A,Maintenance Resource,Clothes,1,Sewing Workshop
Master,Shipyard,5,Boat,30,Output Resource,Boat,1,N/A
Master,Sugar Cane Plantation,2,Moonshine,N/A,Build Resource,Plank,12,Sawmill
Master,Sugar Cane Plantation,2,Moonshine,N/A,Build Resource,Brick,6,Brick Factory
Master,Steam Engine Factory,6,Steam Engine,N/A,Input Resource,Boiler,1,Boiler Factory
Master,Sugar Cane Plantation,2,Moonshine,N/A,Maintenance Resource,Bread,1,Bakery
Master,Sugar Cane Plantation,2,Moonshine,N/A,Maintenance Resource,Beer,1,Brewery
Master,Sugar Cane Plantation,2,Moonshine,N/A,Maintenance Resource,Clothes,1,Sewing Workshop
Islands,Shipyard*,6,Boat,30,Output Resource,Boat*,1,N/A
Master,Moonshine Factory,2,Moonshine,N/A,Build Resource,Plank,16,Sawmill
Master,Moonshine Factory,2,Moonshine,N/A,Build Resource,Stone,14,Quarry
Master,Moonshine Factory,2,Moonshine,N/A,Build Resource,Brick,12,Brick Factory
Mountains,Schnapps Distillery**,9,Schnapps,N/A,Input Resource,Boiler**,1,Boiler Factory**
Mountains,Steam Engine Factory**,9,Steam Engine,N/A,Input Resource,Boiler**,1,Boiler Factory**
Master,Moonshine Factory,2,Moonshine,N/A,Maintenance Resource,Bread,3,Bakery
Master,Moonshine Factory,2,Moonshine,N/A,Maintenance Resource,Beer,3,Brewery
Master,Moonshine Factory,2,Moonshine,N/A,Maintenance Resource,Clothes,3,Sewing Workshop
Master,Boiler Factory,6,Steam Engine,30,Output Resource,Boiler,1,N/A
Master,Cotton Plantation,2,Overalls,N/A,Build Resource,Plank,8,Sawmill
Master,Cotton Plantation,2,Overalls,N/A,Build Resource,Stone,7,Quarry
Mountains,Gold Mission,0,Port,N/A,Input Resource,Boiler**,1,Boiler Factory**
Master,Cotton Plantation,2,Overalls,N/A,Maintenance Resource,Bread,1,Bakery
Master,Cotton Plantation,2,Overalls,N/A,Maintenance Resource,Beer,1,Brewery
Master,Cotton Plantation,2,Overalls,N/A,Maintenance Resource,Clothes,1,Sewing Workshop
Mountains,Boiler Factory**,8,Steam Engine,30,Output Resource,Boiler**,1,N/A
Master,Cotton Mill,2,Overalls,N/A,Build Resource,Plank,8,Sawmill
Master,Cotton Mill,2,Overalls,N/A,Build Resource,Stone,7,Quarry
Master,Cotton Mill,2,Overalls,N/A,Build Resource,Brick,6,Brick Factory
Master,Brick Mission,0,Port,N/A,Input Resource,Bread,1,Bakery
Master,Cotton Mill,2,Overalls,N/A,Maintenance Resource,Bread,2,Bakery
Master,Cotton Mill,2,Overalls,N/A,Maintenance Resource,Beer,2,Brewery
Master,Cotton Mill,2,Overalls,N/A,Maintenance Resource,Clothes,2,Sewing Workshop
Mountains,Steam Mission,0,Port,0,Output Resource,Boiler**,1,N/A
Master,Felt Workshop,2,Overalls,N/A,Build Resource,Plank,8,Sawmill
Master,Felt Workshop,2,Overalls,N/A,Build Resource,Stone,7,Quarry
Master,Felt Workshop,2,Overalls,N/A,Build Resource,Brick,6,Brick Factory
Master,Steel Mission,0,Port,N/A,Input Resource,Bread,1,Bakery
Master,Felt Workshop,2,Overalls,N/A,Maintenance Resource,Bread,2,Bakery
Master,Felt Workshop,2,Overalls,N/A,Maintenance Resource,Beer,2,Brewery
Master,Felt Workshop,2,Overalls,N/A,Maintenance Resource,Clothes,2,Sewing Workshop
Master,Boot Factory,4,Boots,45,Output Resource,Boots,1,N/A
Master,Fur Factory,2,Overalls,N/A,Build Resource,Plank,16,Sawmill
Master,Fur Factory,2,Overalls,N/A,Build Resource,Stone,12,Quarry
Master,Fur Factory,2,Overalls,N/A,Build Resource,Brick,14,Brick Factory
Master,Steel Mission,0,Port,N/A,Input Resource,Brick,1,Brick Mission
Master,Copper Mission,0,Port,N/A,Input Resource,Brick,1,Brick Factory
Master,Fur Factory,2,Overalls,N/A,Maintenance Resource,Bread,3,Bakery
Master,Fur Factory,2,Overalls,N/A,Maintenance Resource,Beer,3,Brewery
Master,Fur Factory,2,Overalls,N/A,Maintenance Resource,Clothes,3,Sewing Workshop
Master,Bakery,1,Bread,45,Output Resource,Bread,3,N/A
Master,Iron Mine,2,Steel Beams,N/A,Build Resource,Plank,6,Sawmill
Master,Iron Mine,2,Steel Beams,N/A,Build Resource,Stone,5,Quarry
Islands,Oil Island,0,Port,N/A,Input Resource,Brick*,1,Brick Factory*
Master,Iron Mine,2,Steel Beams,N/A,Maintenance Resource,Sausages,1,Butchery
Master,Iron Mine,2,Steel Beams,N/A,Maintenance Resource,Moonshine,1,Moonshine Factory
Master,Iron Mine,2,Steel Beams,N/A,Maintenance Resource,Overalls,1,Fur Factory
Mountains,Bakery**,7,Bread,45,Output Resource,Bread**,3,N/A
Master,Steam Iron Mine,2,Steel Beams,N/A,Build Resource,Plank,12,Sawmill
Master,Steam Iron Mine,2,Steel Beams,N/A,Build Resource,Stone,10,Quarry
Master,Steam Iron Mine,2,Steel Beams,N/A,Build Resource,Steam Engine,2,Steam Engine Factory
Master,Fur Factory,2,Overalls,N/A,Input Resource,Calico,1,Cotton Mill
Master,Steam Iron Mine,2,Steel Beams,N/A,Maintenance Resource,Steam Engine,1,Steam Engine Factory
Master,Brick Factory,1,Brick,45,Output Resource,Brick,2,N/A
Master,Coal Mine,2,Steel Beams,N/A,Build Resource,Plank,6,Sawmill
Master,Coal Mine,2,Steel Beams,N/A,Build Resource,Stone,5,Quarry
Master,Tailor's Shop,5,Suits,N/A,Input Resource,Calico,1,Cotton Mill
Master,Coal Mine,2,Steel Beams,N/A,Maintenance Resource,Sausages,1,Butchery
Master,Coal Mine,2,Steel Beams,N/A,Maintenance Resource,Moonshine,1,Moonshine Factory
Master,Coal Mine,2,Steel Beams,N/A,Maintenance Resource,Overalls,1,Fur Factory
Islands,Brick Factory*,6,Brick,45,Output Resource,Brick*,2,N/A
Master,Steam Coal Mine,2,Steel Beams,N/A,Build Resource,Plank,12,Sawmill
Master,Steam Coal Mine,2,Steel Beams,N/A,Build Resource,Stone,10,Quarry
Master,Steam Coal Mine,2,Steel Beams,N/A,Build Resource,Steam Engine,2,Steam Engine Factory
Master,Hat Fabric,7,Hat,N/A,Input Resource,Calico,1,Cotton Mill
Master,Steam Coal Mine,2,Steel Beams,N/A,Maintenance Resource,Steam Engine,1,Steam Engine Factory
Master,Brick Mission,0,Port,0,Output Resource,Brick,1,N/A
Master,Charcoal Kiln,2,Steel Beams,N/A,Build Resource,Plank,2,Sawmill
Master,Charcoal Kiln,2,Steel Beams,N/A,Build Resource,Stone,1,Quarry
Islands,Fur Factory*,8,Overalls,N/A,Input Resource,Calico*,1,Cotton Mill*
Master,Charcoal Kiln,2,Steel Beams,N/A,Maintenance Resource,None,0,None
Islands,Death Island,0,Port,0,Output Resource,Brick*,1,N/A
Master,Furnace,2,Steel Beams,N/A,Build Resource,Plank,8,Sawmill
Master,Furnace,2,Steel Beams,N/A,Build Resource,Stone,7,Quarry
Master,Furnace,2,Steel Beams,N/A,Build Resource,Brick,6,Brick Factory
Master,Milk Farm,3,Milk Can,N/A,Input Resource,Can,1,Can Factory
Master,Cannery,4,Canned Food,N/A,Input Resource,Can,1,Can Factory
Master,Furnace,2,Steel Beams,N/A,Maintenance Resource,Sausages,1,Butchery
Master,Furnace,2,Steel Beams,N/A,Maintenance Resource,Moonshine,1,Moonshine Factory
Master,Furnace,2,Steel Beams,N/A,Maintenance Resource,Overalls,1,Fur Factory
Master,Cotton Mill,2,Overalls,30,Output Resource,Calico,2,N/A
Master,Steelworks,2,Steel Beams,N/A,Build Resource,Plank,16,Sawmill
Master,Steelworks,2,Steel Beams,N/A,Build Resource,Stone,12,Quarry
Master,Steelworks,2,Steel Beams,N/A,Build Resource,Brick,14,Brick Factory
Mountains,Milk Farm**,8,Milk Can,N/A,Input Resource,Can**,1,Can Factory**
Master,Steelworks,2,Steel Beams,N/A,Maintenance Resource,Sausages,2,Butchery
Master,Steelworks,2,Steel Beams,N/A,Maintenance Resource,Moonshine,2,Moonshine Factory
Master,Steelworks,2,Steel Beams,N/A,Maintenance Resource,Overalls,2,Fur Factory
Islands,Cotton Mill*,8,Overalls,30,Output Resource,Calico*,2,N/A
Master,Cow Farm,3,Steak & Leather,N/A,Build Resource,Plank,6,Sawmill
Master,Cow Farm,3,Steak & Leather,N/A,Build Resource,Brick,5,Brick Factory
Master,Steam Engine Factory,6,Steam Engine,N/A,Input Resource,Caoutchouc,1,Caoutchouc Farm
Master,Cow Farm,3,Steak & Leather,N/A,Maintenance Resource,Sausages,1,Butchery
Master,Cow Farm,3,Steak & Leather,N/A,Maintenance Resource,Moonshine,1,Moonshine Factory
Master,Cow Farm,3,Steak & Leather,N/A,Maintenance Resource,Overalls,1,Fur Factory
Master,Can Factory,3,Milk Can,30,Output Resource,Can,2,N/A
Mountains,Can Factory**,8,Milk Can,30,Output Resource,Can**,2,N/A
Master,Steakhouse,3,Steak & Leather,N/A,Build Resource,Plank,8,Sawmill
Master,Steakhouse,3,Steak & Leather,N/A,Build Resource,Stone,4,Quarry
Master,Steakhouse,3,Steak & Leather,N/A,Build Resource,Brick,4,Brick Factory
Master,Steakhouse,3,Steak & Leather,N/A,Build Resource,Steel Beams,2,Steelworks
Islands,Port,0,Port,N/A,Input Resource,Caoutchouc*,1,Caoutchouc Farm*
Master,Steakhouse,3,Steak & Leather,N/A,Maintenance Resource,Sausages,2,Butchery
Master,Steakhouse,3,Steak & Leather,N/A,Maintenance Resource,Moonshine,2,Moonshine Factory
Master,Steakhouse,3,Steak & Leather,N/A,Maintenance Resource,Overalls,2,Fur Factory
Master,Cannery,4,Canned Food,45,Output Resource,Canned Food,2,N/A
Islands,Caoutchouc Farm*,6,Caoutchouc,31,Output Resource,Caoutchouc*,2,N/A
Master,Can Factory,3,Milk Can,N/A,Build Resource,Plank,8,Sawmill
Master,Can Factory,3,Milk Can,N/A,Build Resource,Stone,4,Quarry
Master,Can Factory,3,Milk Can,N/A,Build Resource,Brick,4,Brick Factory
Master,Can Factory,3,Milk Can,N/A,Build Resource,Steel Beams,2,Steelworks
Master,Copper Mission,0,Port,N/A,Input Resource,Caoutchouc,1,Caoutchouc Farm*
Mountains,Soup Kitchen**,11,Soup,N/A,Input Resource,Carrot**,1,Carrot Farm**
Master,Can Factory,3,Milk Can,N/A,Maintenance Resource,Sausages,2,Butchery
Master,Can Factory,3,Milk Can,N/A,Maintenance Resource,Moonshine,2,Moonshine Factory
Master,Can Factory,3,Milk Can,N/A,Maintenance Resource,Overalls,2,Fur Factory
Master,Port,0,Port,0,Output Resource,Caoutchouc,1,N/A
Master,Milk Farm,3,Milk Can,N/A,Build Resource,Plank,16,Sawmill
Master,Milk Farm,3,Milk Can,N/A,Build Resource,Stone,14,Quarry
Master,Milk Farm,3,Milk Can,N/A,Build Resource,Brick,20,Brick Factory
Master,Milk Farm,3,Milk Can,N/A,Build Resource,Steel Beams,16,Steelworks
Mountains,Carrot Juice Kitchen**,11,Carrot Juice,N/A,Input Resource,Carrot**,1,Carrot Farm**
Mountains,Cigar Factory**,11,Cigars,N/A,Input Resource,Casket**,2,Marquetry Workshop**
Master,Milk Farm,3,Milk Can,N/A,Maintenance Resource,Sausages,2,Butchery
Master,Milk Farm,3,Milk Can,N/A,Maintenance Resource,Moonshine,2,Moonshine Factory
Master,Milk Farm,3,Milk Can,N/A,Maintenance Resource,Overalls,2,Fur Factory
Mountains,Carrot Farm**,11,Soup,31,Output Resource,Carrot**,2,N/A
Master,Tannery,3,Vest,N/A,Build Resource,Plank,8,Sawmill
Master,Tannery,3,Vest,N/A,Build Resource,Stone,4,Quarry
Master,Tannery,3,Vest,N/A,Build Resource,Brick,4,Brick Factory
Master,Tannery,3,Vest,N/A,Build Resource,Steel Beams,2,Steelworks
Master,Concrete Factory,5,Concrete,N/A,Input Resource,Cement,1,Cement Factory
Master,Tannery,3,Vest,N/A,Maintenance Resource,Sausages,1,Butchery
Master,Tannery,3,Vest,N/A,Maintenance Resource,Moonshine,1,Moonshine Factory
Master,Tannery,3,Vest,N/A,Maintenance Resource,Overalls,1,Fur Factory
Mountains,Carrot Juice Kitchen**,11,Carrot Juice,45,Output Resource,Carrot Juice**,2,N/A
Master,Leather Workshop,3,Vest,N/A,Build Resource,Plank,16,Sawmill
Master,Leather Workshop,3,Vest,N/A,Build Resource,Stone,14,Quarry
Master,Leather Workshop,3,Vest,N/A,Build Resource,Brick,20,Brick Factory
Master,Leather Workshop,3,Vest,N/A,Build Resource,Steel Beams,16,Steelworks
Mountains,Steam Engine Factory**,9,Steam Engine,N/A,Input Resource,Chain**,1,Chain Factory**
Master,Leather Workshop,3,Vest,N/A,Maintenance Resource,Sausages,2,Butchery
Master,Leather Workshop,3,Vest,N/A,Maintenance Resource,Moonshine,2,Moonshine Factory
Master,Leather Workshop,3,Vest,N/A,Maintenance Resource,Overalls,2,Fur Factory
Mountains,Marquetry Workshop**,11,Cigars,30,Output Resource,Casket**,1,N/A
Master,Sand Mine,3,Windows,N/A,Build Resource,Plank,8,Sawmill
Master,Sand Mine,3,Windows,N/A,Build Resource,Stone,7,Quarry
Master,Sand Mine,3,Windows,N/A,Build Resource,Brick,4,Brick Factory
Master,World Exhibition,8,World Exhibition,N/A,Input Resource,Cheese,75,Cheese Factory
Master,Sand Mine,3,Windows,N/A,Maintenance Resource,Steak,1,Steakhouse
Master,Sand Mine,3,Windows,N/A,Maintenance Resource,Milk Can,1,Milk Farm
Master,Sand Mine,3,Windows,N/A,Maintenance Resource,Vest,1,Leather Workshop
Master,Cement Factory,5,Concrete,30,Output Resource,Cement,1,N/A
Master,Glassmakers,3,Windows,N/A,Build Resource,Plank,8,Sawmill
Master,Glassmakers,3,Windows,N/A,Build Resource,Stone,4,Quarry
Master,Glassmakers,3,Windows,N/A,Build Resource,Brick,4,Brick Factory
Master,Glassmakers,3,Windows,N/A,Build Resource,Steel Beams,2,Steelworks
Master,World Exhibition,8,World Exhibition,N/A,Input Resource,Chocolate,50,Chocolate Factory
Master,Glassmakers,3,Windows,N/A,Maintenance Resource,Steak,1,Steakhouse
Master,Glassmakers,3,Windows,N/A,Maintenance Resource,Milk Can,1,Milk Farm
Master,Glassmakers,3,Windows,N/A,Maintenance Resource,Vest,1,Leather Workshop
Mountains,Chain Factory**,9,Steam Engine,30,Output Resource,Chain**,1,N/A
Master,Window Makers,3,Windows,N/A,Build Resource,Plank,16,Sawmill
Master,Window Makers,3,Windows,N/A,Build Resource,Brick,20,Brick Factory
Master,Window Makers,3,Windows,N/A,Build Resource,Steel Beams,16,Steelworks
Islands,Lemonade Factory*,7,Lemonade,N/A,Input Resource,Citrus*,1,Citrus Farm*
Master,Brick Factory,1,Brick,N/A,Input Resource,Clay,2,Clay Pit
Master,Window Makers,3,Windows,N/A,Maintenance Resource,Steak,2,Steakhouse
Master,Window Makers,3,Windows,N/A,Maintenance Resource,Milk Can,2,Milk Farm
Master,Window Makers,3,Windows,N/A,Maintenance Resource,Vest,2,Leather Workshop
Master,Cheese Factory,5,Cheese,45,Output Resource,Cheese,2,N/A
Master,Red Pepper Farm,4,Canned Food,N/A,Build Resource,Plank,8,Sawmill
Master,Red Pepper Farm,4,Canned Food,N/A,Build Resource,Brick,7,Brick Factory
Master,Red Pepper Farm,4,Canned Food,N/A,Build Resource,Windows,4,Window Makers
Islands,Brick Factory*,6,Brick,N/A,Input Resource,Clay*,2,Clay Pit
Master,Red Pepper Farm,4,Canned Food,N/A,Maintenance Resource,Steak,1,Steakhouse
Master,Red Pepper Farm,4,Canned Food,N/A,Maintenance Resource,Milk Can,1,Milk Farm
Master,Red Pepper Farm,4,Canned Food,N/A,Maintenance Resource,Vest,1,Leather Workshop
Master,Chocolate Factory,7,Chocolate,45,Output Resource,Chocolate,2,N/A
Master,Cattle Farm,4,Canned Food,N/A,Build Resource,Plank,8,Sawmill
Master,Cattle Farm,4,Canned Food,N/A,Build Resource,Brick,7,Brick Factory
Master,Cattle Farm,4,Canned Food,N/A,Build Resource,Windows,4,Window Makers
Master,Steel Mission,0,Port,N/A,Input Resource,Clothes,1,Sewing Workshop
Master,Cattle Farm,4,Canned Food,N/A,Maintenance Resource,Steak,1,Steakhouse
Master,Cattle Farm,4,Canned Food,N/A,Maintenance Resource,Milk Can,1,Milk Farm
Master,Cattle Farm,4,Canned Food,N/A,Maintenance Resource,Vest,1,Leather Workshop
Mountains,Cigar Factory**,11,Cigars,45,Output Resource,Cigar**,2,N/A
Master,Cannery,4,Canned Food,N/A,Build Resource,Plank,16,Sawmill
Master,Cannery,4,Canned Food,N/A,Build Resource,Brick,20,Brick Factory
Master,Cannery,4,Canned Food,N/A,Build Resource,Steel Beams,12,Steelworks
Master,Cannery,4,Canned Food,N/A,Build Resource,Windows,8,Window Makers
Master,Furnace,2,Steel Beams,N/A,Input Resource,Coal,1,Coal Mine
Master,Can Factory,3,Milk Can,N/A,Input Resource,Coal,1,Coal Mine
Master,Kerosene Factory,7,Kerosene Lamp,N/A,Input Resource,Coal,1,Coal Mine
Master,Cannery,4,Canned Food,N/A,Maintenance Resource,Steak,2,Steakhouse
Master,Cannery,4,Canned Food,N/A,Maintenance Resource,Milk Can,2,Milk Farm
Master,Cannery,4,Canned Food,N/A,Maintenance Resource,Vest,2,Leather Workshop
Islands,Citrus Farm*,7,Lemonade,31,Output Resource,Citrus*,2,N/A
Master,Vineyard,4,Wine,N/A,Build Resource,Plank,8,Sawmill
Master,Vineyard,4,Wine,N/A,Build Resource,Brick,7,Brick Factory
Master,Vineyard,4,Wine,N/A,Build Resource,Windows,4,Window Makers
Mountains,Furnace**,7,Steel Beams,N/A,Input Resource,Coal**,1,Coal Mine**
Master,Vineyard,4,Wine,N/A,Maintenance Resource,Steak,1,Steakhouse
Master,Vineyard,4,Wine,N/A,Maintenance Resource,Milk Can,1,Milk Farm
Master,Vineyard,4,Wine,N/A,Maintenance Resource,Vest,1,Leather Workshop
Master,Clay Pit,1,Brick,60,Output Resource,Clay,1,N/A
Master,Winery,4,Wine,N/A,Build Resource,Plank,16,Sawmill
Master,Winery,4,Wine,N/A,Build Resource,Brick,20,Brick Factory
Master,Winery,4,Wine,N/A,Build Resource,Steel Beams,12,Steelworks
Master,Winery,4,Wine,N/A,Build Resource,Windows,8,Window Makers
Mountains,Can Factory**,8,Milk Can,N/A,Input Resource,Coal**,1,Coal Mine**
Mountains,Furnace***,8,Steel Beams,N/A,Input Resource,Coal**,1,Coal Mine**
Master,Winery,4,Wine,N/A,Maintenance Resource,Steak,2,Steakhouse
Master,Winery,4,Wine,N/A,Maintenance Resource,Milk Can,2,Milk Farm
Master,Winery,4,Wine,N/A,Maintenance Resource,Vest,2,Leather Workshop
Master,Steam Clay Pit,1,Brick,60,Output Resource,Clay,2,N/A
Master,Boot Factory,4,Boots,N/A,Build Resource,Plank,16,Sawmill
Master,Boot Factory,4,Boots,N/A,Build Resource,Brick,20,Brick Factory
Master,Boot Factory,4,Boots,N/A,Build Resource,Steel Beams,12,Steelworks
Master,Boot Factory,4,Boots,N/A,Build Resource,Windows,8,Window Makers
Mountains,Brass Smeltery**,8,Glasses,N/A,Input Resource,Coal**,1,Coal Mine**
Master,Boot Factory,4,Boots,N/A,Maintenance Resource,Steak,2,Steakhouse
