buid,Plan,Building,Tier,Category,Production Time,Resource Type,Resource,Resource Quantity,Resource Dependency
2-07-L-CFI,Islands,Citrus Farm (Islands),7,Lemonade,N/A,Maintenance Resource,Fried Banana*,1,Fried Banana Kitchen*
2-07-L-CFI,Islands,Citrus Farm (Islands),7,Lemonade,N/A,Maintenance Resource,Poncho*,1,Poncho Darner*
2-07-L-CFI,Islands,Citrus Farm (Islands),7,Lemonade,N/A,Input Resource,None,1,None
2-01-B-CPI,Islands,Clay Pit (Islands),6,Brick,60,Output Resource,Clay*,1,N/A
2-01-B-CPI,Islands,Clay Pit (Islands),6,Brick,N/A,Build Resource,Stone*,8,Quarry*
2-01-B-CPI,Islands,Clay Pit (Islands),6,Brick,N/A,Build Resource,Timber*,16,Bamboo Factory*
2-01-B-CPI,Islands,Clay Pit (Islands),6,Brick,N/A,Maintenance Resource,Rum*,1,Rum Distillery*
2-01-B-CPI,Islands,Clay Pit (Islands),6,Brick,N/A,Maintenance Resource,Fried Banana*,1,Fried Banana Kitchen*
2-01-B-CPI,Islands,Clay Pit (Islands),6,Brick,N/A,Maintenance Resource,Poncho*,1,Poncho Darner*
2-01-B-CPI,Islands,Clay Pit (Islands),6,Brick,N/A,Input Resource,None,1,None
2-06-FB-CPI,Islands,Cocoa Plantation (Islands),6,Fried Banana,31,Output Resource,Cocoa*,2,N/A
2-06-FB-CPI,Islands,Cocoa Plantation (Islands),6,Fried Banana,N/A,Build Resource,Stone*,3,Quarry*
2-06-FB-CPI,Islands,Cocoa Plantation (Islands),6,Fried Banana,N/A,Build Resource,Timber*,8,Bamboo Factory*
2-06-FB-CPI,Islands,Cocoa Plantation (Islands),6,Fried Banana,N/A,Maintenance Resource,Fish*,1,Fishery*
2-06-FB-CPI,Islands,Cocoa Plantation (Islands),6,Fried Banana,N/A,Maintenance Resource,Water*,1,Well*
2-06-FB-CPI,Islands,Cocoa Plantation (Islands),6,Fried Banana,N/A,Input Resource,None,1,None
2-08-C-CPI,Islands,Coffee Plantation (Islands),8,Coffee,31,Output Resource,Coffee Beans*,2,N/A
2-08-C-CPI,Islands,Coffee Plantation (Islands),8,Coffee,N/A,Build Resource,Stone*,8,Quarry*
2-08-C-CPI,Islands,Coffee Plantation (Islands),8,Coffee,N/A,Build Resource,Brick*,7,Brick Factory*
2-08-C-CPI,Islands,Coffee Plantation (Islands),8,Coffee,N/A,Build Resource,Timber*,16,Bamboo Factory*
2-08-C-CPI,Islands,Coffee Plantation (Islands),8,Coffee,N/A,Build Resource,Lime Plaster*,7,Lime Plaster Factory*
2-08-C-CPI,Islands,Coffee Plantation (Islands),8,Coffee,N/A,Maintenance Resource,Clothes*,1,Sewing Workshop*
2-08-C-CPI,Islands,Coffee Plantation (Islands),8,Coffee,N/A,Maintenance Resource,Lemonade*,1,Lemonade Factory*
2-08-C-CPI,Islands,Coffee Plantation (Islands),8,Coffee,N/A,Maintenance Resource,Tortilla*,1,Tortilla Kitchen*
2-08-C-CPI,Islands,Coffee Plantation (Islands),8,Coffee,N/A,Input Resource,None,1,None
2-08-C-CRI,Islands,Coffee Roaster (Islands),8,Coffee,N/A,Input Resource,Coffee Beans*,1,Coffee Plantation*
2-08-C-CRI,Islands,Coffee Roaster (Islands),8,Coffee,45,Output Resource,Coffee*,2,N/A
2-08-C-CRI,Islands,Coffee Roaster (Islands),8,Coffee,N/A,Build Resource,Stone*,16,Quarry*
2-08-C-CRI,Islands,Coffee Roaster (Islands),8,Coffee,N/A,Build Resource,Brick*,15,Brick Factory*
2-08-C-CRI,Islands,Coffee Roaster (Islands),8,Coffee,N/A,Build Resource,Timber*,32,Bamboo Factory*
2-08-C-CRI,Islands,Coffee Roaster (Islands),8,Coffee,N/A,Build Resource,Lime Plaster*,15,Lime Plaster Factory*
2-08-C-CRI,Islands,Coffee Roaster (Islands),8,Coffee,N/A,Maintenance Resource,Clothes*,2,Sewing Workshop*
2-08-C-CRI,Islands,Coffee Roaster (Islands),8,Coffee,N/A,Maintenance Resource,Lemonade*,2,Lemonade Factory*
2-08-C-CRI,Islands,Coffee Roaster (Islands),8,Coffee,N/A,Maintenance Resource,Tortilla*,2,Tortilla Kitchen*
2-07-T-CFI,Islands,Corn Farm (Islands),7,Tortilla,31,Output Resource,Corn*,2,N/A
2-07-T-CFI,Islands,Corn Farm (Islands),7,Tortilla,N/A,Build Resource,Stone*,8,Quarry*
2-07-T-CFI,Islands,Corn Farm (Islands),7,Tortilla,N/A,Build Resource,Brick*,7,Brick Factory*
2-07-T-CFI,Islands,Corn Farm (Islands),7,Tortilla,N/A,Build Resource,Timber*,16,Bamboo Factory*
2-07-T-CFI,Islands,Corn Farm (Islands),7,Tortilla,N/A,Maintenance Resource,Rum*,1,Rum Distillery*
2-07-T-CFI,Islands,Corn Farm (Islands),7,Tortilla,N/A,Maintenance Resource,Fried Banana*,1,Fried Banana Kitchen*
2-07-T-CFI,Islands,Corn Farm (Islands),7,Tortilla,N/A,Maintenance Resource,Poncho*,1,Poncho Darner*
2-07-T-CFI,Islands,Corn Farm (Islands),7,Tortilla,N/A,Input Resource,None,1,None
2-02-O-CMI,Islands,Cotton Mill (Islands),8,Overalls,30,Output Resource,Calico*,2,N/A
2-02-O-CMI,Islands,Cotton Mill (Islands),8,Overalls,N/A,Input Resource,Cotton*,1,Cotton Plantation*
2-02-O-CMI,Islands,Cotton Mill (Islands),8,Overalls,N/A,Build Resource,Stone*,16,Quarry*
2-02-O-CMI,Islands,Cotton Mill (Islands),8,Overalls,N/A,Build Resource,Brick*,15,Brick Factory*
2-02-O-CMI,Islands,Cotton Mill (Islands),8,Overalls,N/A,Build Resource,Timber*,32,Bamboo Factory*
2-02-O-CMI,Islands,Cotton Mill (Islands),8,Overalls,N/A,Build Resource,Lime Plaster*,15,Lime Plaster Factory*
2-02-O-CMI,Islands,Cotton Mill (Islands),8,Overalls,N/A,Maintenance Resource,Clothes*,2,Sewing Workshop*
2-02-O-CMI,Islands,Cotton Mill (Islands),8,Overalls,N/A,Maintenance Resource,Lemonade*,2,Lemonade Factory*
2-02-O-CMI,Islands,Cotton Mill (Islands),8,Overalls,N/A,Maintenance Resource,Tortilla*,2,Tortilla Kitchen*
2-02-O-CPI,Islands,Cotton Plantation (Islands),6,Overalls,31,Output Resource,Cotton*,2,N/A
2-02-O-CPI,Islands,Cotton Plantation (Islands),6,Overalls,N/A,Build Resource,Stone*,8,Quarry*
2-02-O-CPI,Islands,Cotton Plantation (Islands),6,Overalls,N/A,Build Resource,Timber*,16,Bamboo Factory*
2-02-O-CPI,Islands,Cotton Plantation (Islands),6,Overalls,N/A,Maintenance Resource,Rum*,1,Rum Distillery*
2-02-O-CPI,Islands,Cotton Plantation (Islands),6,Overalls,N/A,Maintenance Resource,Fried Banana*,1,Fried Banana Kitchen*
2-02-O-CPI,Islands,Cotton Plantation (Islands),6,Overalls,N/A,Maintenance Resource,Poncho*,1,Poncho Darner*
2-02-O-CPI,Islands,Cotton Plantation (Islands),6,Overalls,N/A,Input Resource,None,1,None
1-05-C-CFM,Islands,Death Island,0,Port,0,Output Resource,Brick*,1,N/A
1-05-C-CFM,Islands,Death Island,0,Port,N/A,Input Resource,Fish*,1,Fishery*
1-05-C-CFM,Islands,Death Island,0,Port,N/A,Input Resource,Steam Engine*,1,Steam Engine Factory*
1-05-C-CFM,Islands,Death Island,0,Port,N/A,Input Resource,Water*,1,Well*
2-02-O-FWI,Islands,Felt Workshop (Islands),8,Overalls,30,Output Resource,Felt*,2,N/A
2-02-O-FWI,Islands,Felt Workshop (Islands),8,Overalls,N/A,Build Resource,Stone*,16,Quarry*
2-02-O-FWI,Islands,Felt Workshop (Islands),8,Overalls,N/A,Build Resource,Brick*,15,Brick Factory*
2-02-O-FWI,Islands,Felt Workshop (Islands),8,Overalls,N/A,Build Resource,Timber*,32,Bamboo Factory*
2-02-O-FWI,Islands,Felt Workshop (Islands),8,Overalls,N/A,Build Resource,Lime Plaster*,15,Lime Plaster Factory*
2-02-O-FWI,Islands,Felt Workshop (Islands),8,Overalls,N/A,Maintenance Resource,Clothes*,2,Sewing Workshop*
2-02-O-FWI,Islands,Felt Workshop (Islands),8,Overalls,N/A,Maintenance Resource,Lemonade*,2,Lemonade Factory*
2-02-O-FWI,Islands,Felt Workshop (Islands),8,Overalls,N/A,Maintenance Resource,Tortilla*,2,Tortilla Kitchen*
2-02-O-FWI,Islands,Felt Workshop (Islands),8,Overalls,N/A,Input Resource,Wool*,1,Sheep Farm*
2-00-F-FI,Islands,Fishery (Islands),5,Fish,N/A,Build Resource,Timber*,4,Bamboo Factory*
2-00-F-FI,Islands,Fishery (Islands),5,Fish,N/A,Maintenance Resource,None,0,None
2-00-F-FI,Islands,Fishery (Islands),5,Fish,30,Output Resource,Fish*,1,N/A
2-00-F-FI,Islands,Fishery (Islands),5,Fish,N/A,Input Resource,None,1,None
2-06-FB-FBKI,Islands,Fried Banana Kitchen (Islands),6,Fried Banana,N/A,Input Resource,Banana*,1,Banana Farm*
2-06-FB-FBKI,Islands,Fried Banana Kitchen (Islands),6,Fried Banana,N/A,Input Resource,Cocoa*,1,Cocoa Plantation*
2-06-FB-FBKI,Islands,Fried Banana Kitchen (Islands),6,Fried Banana,N/A,Build Resource,Stone*,8,Quarry*
2-06-FB-FBKI,Islands,Fried Banana Kitchen (Islands),6,Fried Banana,N/A,Build Resource,Timber*,16,Bamboo Factory*
2-06-FB-FBKI,Islands,Fried Banana Kitchen (Islands),6,Fried Banana,N/A,Maintenance Resource,Fish*,2,Fishery*
2-06-FB-FBKI,Islands,Fried Banana Kitchen (Islands),6,Fried Banana,N/A,Maintenance Resource,Water*,2,Well*
2-06-FB-FBKI,Islands,Fried Banana Kitchen (Islands),6,Fried Banana,45,Output Resource,Fried Banana*,3,N/A
2-02-O-FFI,Islands,Fur Factory (Islands),8,Overalls,N/A,Input Resource,Calico*,1,Cotton Mill*
2-02-O-FFI,Islands,Fur Factory (Islands),8,Overalls,N/A,Input Resource,Felt*,1,Felt Workshop*
2-02-O-FFI,Islands,Fur Factory (Islands),8,Overalls,N/A,Build Resource,Stone*,24,Quarry*
2-02-O-FFI,Islands,Fur Factory (Islands),8,Overalls,N/A,Build Resource,Brick*,23,Brick Factory*
2-02-O-FFI,Islands,Fur Factory (Islands),8,Overalls,N/A,Build Resource,Timber*,48,Bamboo Factory*
2-02-O-FFI,Islands,Fur Factory (Islands),8,Overalls,N/A,Build Resource,Lime Plaster*,23,Lime Plaster Factory*
2-02-O-FFI,Islands,Fur Factory (Islands),8,Overalls,N/A,Maintenance Resource,Clothes*,2,Sewing Workshop*
2-02-O-FFI,Islands,Fur Factory (Islands),8,Overalls,N/A,Maintenance Resource,Lemonade*,2,Lemonade Factory*
2-02-O-FFI,Islands,Fur Factory (Islands),8,Overalls,N/A,Maintenance Resource,Tortilla*,2,Tortilla Kitchen*
2-02-O-FFI,Islands,Fur Factory (Islands),8,Overalls,45,Output Resource,Overalls*,3,N/A
2-08-H-GPFI,Islands,Green Pepper Farm (Islands),8,Humatis,31,Output Resource,Green Pepper*,2,N/A
2-08-H-GPFI,Islands,Green Pepper Farm (Islands),8,Humatis,N/A,Build Resource,Stone*,8,Quarry*
2-08-H-GPFI,Islands,Green Pepper Farm (Islands),8,Humatis,N/A,Build Resource,Brick*,7,Brick Factory*
2-08-H-GPFI,Islands,Green Pepper Farm (Islands),8,Humatis,N/A,Build Resource,Timber*,16,Bamboo Factory*
2-08-H-GPFI,Islands,Green Pepper Farm (Islands),8,Humatis,N/A,Build Resource,Lime Plaster*,7,Lime Plaster Factory*
2-08-H-GPFI,Islands,Green Pepper Farm (Islands),8,Humatis,N/A,Maintenance Resource,Clothes*,1,Sewing Workshop*
2-08-H-GPFI,Islands,Green Pepper Farm (Islands),8,Humatis,N/A,Maintenance Resource,Lemonade*,1,Lemonade Factory*
2-08-H-GPFI,Islands,Green Pepper Farm (Islands),8,Humatis,N/A,Maintenance Resource,Tortilla*,1,Tortilla Kitchen*
2-08-H-GPFI,Islands,Green Pepper Farm (Islands),8,Humatis,N/A,Input Resource,None,1,None
2-08-H-HKI,Islands,Humitas Kitchen (Islands),8,Humatis,N/A,Input Resource,Corn*,1,Corn Farm*
2-08-H-HKI,Islands,Humitas Kitchen (Islands),8,Humatis,N/A,Input Resource,Green Pepper*,1,Green Pepper Farm*
2-08-H-HKI,Islands,Humitas Kitchen (Islands),8,Humatis,45,Output Resource,Humatis*,2,N/A
2-08-H-HKI,Islands,Humitas Kitchen (Islands),8,Humatis,N/A,Build Resource,Stone*,16,Quarry*
2-08-H-HKI,Islands,Humitas Kitchen (Islands),8,Humatis,N/A,Build Resource,Brick*,15,Brick Factory*
2-08-H-HKI,Islands,Humitas Kitchen (Islands),8,Humatis,N/A,Build Resource,Timber*,32,Bamboo Factory*
2-08-H-HKI,Islands,Humitas Kitchen (Islands),8,Humatis,N/A,Build Resource,Lime Plaster*,15,Lime Plaster Factory*
2-08-H-HKI,Islands,Humitas Kitchen (Islands),8,Humatis,N/A,Maintenance Resource,Clothes*,2,Sewing Workshop*
2-08-H-HKI,Islands,Humitas Kitchen (Islands),8,Humatis,N/A,Maintenance Resource,Lemonade*,2,Lemonade Factory*
2-08-H-HKI,Islands,Humitas Kitchen (Islands),8,Humatis,N/A,Maintenance Resource,Tortilla*,2,Tortilla Kitchen*
2-08-H-HKI,Islands,Humitas Kitchen (Islands),8,Humatis,N/A,Input Resource,Salt*,1,Salt Works*
2-07-L-LFI,Islands,Lemonade Factory (Islands),7,Lemonade,N/A,Input Resource,Citrus*,1,Citrus Farm*
2-07-L-LFI,Islands,Lemonade Factory (Islands),7,Lemonade,N/A,Build Resource,Stone*,24,Quarry*
2-07-L-LFI,Islands,Lemonade Factory (Islands),7,Lemonade,N/A,Build Resource,Brick*,20,Brick Factory*
2-07-L-LFI,Islands,Lemonade Factory (Islands),7,Lemonade,N/A,Build Resource,Timber*,48,Bamboo Factory*
2-07-L-LFI,Islands,Lemonade Factory (Islands),7,Lemonade,N/A,Maintenance Resource,Rum*,2,Rum Distillery*
2-07-L-LFI,Islands,Lemonade Factory (Islands),7,Lemonade,N/A,Maintenance Resource,Fried Banana*,2,Fried Banana Kitchen*
2-07-L-LFI,Islands,Lemonade Factory (Islands),7,Lemonade,N/A,Maintenance Resource,Poncho*,2,Poncho Darner*
2-07-L-LFI,Islands,Lemonade Factory (Islands),7,Lemonade,45,Output Resource,Lemonade*,2,N/A
2-07-L-LFI,Islands,Lemonade Factory (Islands),7,Lemonade,N/A,Input Resource,Salt*,1,Salt Works*
2-07-L-LFI,Islands,Lemonade Factory (Islands),7,Lemonade,N/A,Input Resource,Sugar*,1,Sugar Refinery*
2-07-L-LFI,Islands,Lemonade Factory (Islands),7,Lemonade,N/A,Input Resource,Water*,1,Well*
2-07-LP-LPFI,Islands,Lime Plaster Factory (Islands),7,Lime Plaster,N/A,Input Resource,Limestone*,1,Limestone Quarry*
2-07-LP-LPFI,Islands,Lime Plaster Factory (Islands),7,Lime Plaster,N/A,Build Resource,Stone*,16,Quarry*
2-07-LP-LPFI,Islands,Lime Plaster Factory (Islands),7,Lime Plaster,N/A,Build Resource,Brick*,14,Brick Factory*
2-07-LP-LPFI,Islands,Lime Plaster Factory (Islands),7,Lime Plaster,N/A,Build Resource,Timber*,32,Bamboo Factory*
2-07-LP-LPFI,Islands,Lime Plaster Factory (Islands),7,Lime Plaster,N/A,Maintenance Resource,Clothes*,2,Sewing Workshop*
2-07-LP-LPFI,Islands,Lime Plaster Factory (Islands),7,Lime Plaster,N/A,Maintenance Resource,Lemonade*,2,Lemonade Factory*
2-07-LP-LPFI,Islands,Lime Plaster Factory (Islands),7,Lime Plaster,N/A,Maintenance Resource,Tortilla*,2,Tortilla Kitchen*
2-07-LP-LPFI,Islands,Lime Plaster Factory (Islands),7,Lime Plaster,45,Output Resource,Lime Plaster*,2,N/A
2-07-LP-LPFI,Islands,Lime Plaster Factory (Islands),7,Lime Plaster,N/A,Input Resource,Sand*,1,Sand Mine*
2-07-LP-LPFI,Islands,Lime Plaster Factory (Islands),7,Lime Plaster,N/A,Input Resource,Water*,1,Well*
2-05-C-LQI,Islands,Limestone Quarry (Islands),7,Concrete,N/A,Build Resource,Stone*,8,Quarry*
2-05-C-LQI,Islands,Limestone Quarry (Islands),7,Concrete,N/A,Build Resource,Brick*,7,Brick Factory*
2-05-C-LQI,Islands,Limestone Quarry (Islands),7,Concrete,N/A,Build Resource,Timber*,16,Bamboo Factory*
2-05-C-LQI,Islands,Limestone Quarry (Islands),7,Concrete,N/A,Maintenance Resource,Clothes*,1,Sewing Workshop*
2-05-C-LQI,Islands,Limestone Quarry (Islands),7,Concrete,N/A,Maintenance Resource,Lemonade*,1,Lemonade Factory*
2-05-C-LQI,Islands,Limestone Quarry (Islands),7,Concrete,N/A,Maintenance Resource,Tortilla*,1,Tortilla Kitchen*
2-05-C-LQI,Islands,Limestone Quarry (Islands),7,Concrete,60,Output Resource,Limestone*,1,N/A
2-05-C-LQI,Islands,Limestone Quarry (Islands),7,Concrete,N/A,Input Resource,None,1,None
3-06-OP-OLCM,Islands,Oil Island,0,Port,N/A,Input Resource,Brick*,1,Brick Factory*
3-06-OP-OLCM,Islands,Oil Island,0,Port,N/A,Input Resource,Fried Banana*,1,Fried Banana Kitchen*
3-06-OP-OLCM,Islands,Oil Island,0,Port,0,Output Resource,Oil*,1,Oil Well*
3-06-OP-OLCM,Islands,Oil Island,0,Port,N/A,Input Resource,Poncho*,1,Poncho Darner*
3-06-OP-OLCM,Islands,Oil Island,0,Port,N/A,Input Resource,Steam Engine*,1,Steam Engine Factory*
2-08-O-OWI,Islands,Oil Well (Islands),8,Oil,N/A,Build Resource,Stone*,8,Quarry*
2-08-O-OWI,Islands,Oil Well (Islands),8,Oil,N/A,Build Resource,Brick*,7,Brick Factory*
2-08-O-OWI,Islands,Oil Well (Islands),8,Oil,N/A,Build Resource,Timber*,16,Bamboo Factory*
2-08-O-OWI,Islands,Oil Well (Islands),8,Oil,N/A,Build Resource,Lime Plaster*,7,Lime Plaster Factory*
2-08-O-OWI,Islands,Oil Well (Islands),8,Oil,N/A,Maintenance Resource,Overalls*,1,Fur Factory*
2-08-O-OWI,Islands,Oil Well (Islands),8,Oil,N/A,Maintenance Resource,Humatis*,1,Humitas Kitchen*
2-08-O-OWI,Islands,Oil Well (Islands),8,Oil,N/A,Maintenance Resource,Coffee*,1,Coffee Roaster*
2-08-O-OWI,Islands,Oil Well (Islands),8,Oil,N/A,Input Resource,None,1,None
2-08-O-OWI,Islands,Oil Well (Islands),8,Oil,31,Output Resource,Oil*,1,N/A
3-02-S-PFM,Islands,Pillar (Islands),5,Pillar,N/A,Input Resource,Any*,1,None
3-02-S-PFM,Islands,Pillar (Islands),5,Pillar,2,Output Resource,Any*,1,N/A
3-02-S-PFM,Islands,Pillar (Islands),5,Pillar,N/A,Build Resource,Stone*,1,Quarry*
3-02-S-PFM,Islands,Pillar (Islands),5,Pillar,N/A,Build Resource,Timber*,3,Bamboo Factory*
3-02-S-PFM,Islands,Pillar (Islands),5,Pillar,N/A,Maintenance Resource,None,0,None
2-06-P-PDI,Islands,Poncho Darner (Islands),6,Poncho,N/A,Input Resource,Alpaca Wool*,1,Alpaca Farm*
2-06-P-PDI,Islands,Poncho Darner (Islands),6,Poncho,N/A,Build Resource,Stone*,8,Quarry*
2-06-P-PDI,Islands,Poncho Darner (Islands),6,Poncho,N/A,Build Resource,Timber*,16,Bamboo Factory*
2-06-P-PDI,Islands,Poncho Darner (Islands),6,Poncho,N/A,Maintenance Resource,Fish*,2,Fishery*
2-06-P-PDI,Islands,Poncho Darner (Islands),6,Poncho,N/A,Maintenance Resource,Water*,2,Well*
2-06-P-PDI,Islands,Poncho Darner (Islands),6,Poncho,45,Output Resource,Poncho*,2,N/A
2-06-P-PDI,Islands,Port,0,Port,N/A,Input Resource,Caoutchouc*,1,Caoutchouc Farm*
2-06-P-PDI,Islands,Port,0,Port,N/A,Input Resource,Cocoa*,1,Cocoa Plantation*
2-06-P-PDI,Islands,Port,0,Port,N/A,Input Resource,Coffee*,1,Coffee Roaster*
2-06-P-PDI,Islands,Port,0,Port,0,Output Resource,Cotton*,1,N/A
2-06-P-PDI,Islands,Port,0,Port,N/A,Input Resource,Lemonade*,1,Lemonade Factory*
2-06-P-PDI,Islands,Port,0,Port,N/A,Input Resource,Oil*,1,Oil Well*
2-06-P-PDI,Islands,Port,0,Port,N/A,Input Resource,Rum*,1,Rum Distillery*
2-06-P-PDI,Islands,Port,0,Port,0,Output Resource,Steam Engine*,1,N/A
2-00-S-QI,Islands,Quarry (Islands),5,Stone,N/A,Build Resource,Timber*,4,Bamboo Factory*
2-00-S-QI,Islands,Quarry (Islands),5,Stone,N/A,Maintenance Resource,None,0,None
2-00-S-QI,Islands,Quarry (Islands),5,Stone,N/A,Input Resource,None,1,None
2-00-S-QI,Islands,Quarry (Islands),5,Stone,75,Output Resource,Stone*,1,N/A
2-04-R-RWI,Islands,Rope Workshop (Islands),6,Rope,N/A,Input Resource,Cotton*,1,Cotton Plantation*
2-04-R-RWI,Islands,Rope Workshop (Islands),6,Rope,N/A,Build Resource,Stone*,4,Quarry*
2-04-R-RWI,Islands,Rope Workshop (Islands),6,Rope,N/A,Build Resource,Timber*,8,Bamboo Factory*
2-04-R-RWI,Islands,Rope Workshop (Islands),6,Rope,N/A,Maintenance Resource,Rum*,1,Rum Distillery*
2-04-R-RWI,Islands,Rope Workshop (Islands),6,Rope,N/A,Maintenance Resource,Fried Banana*,1,Fried Banana Kitchen*
2-04-R-RWI,Islands,Rope Workshop (Islands),6,Rope,N/A,Maintenance Resource,Poncho*,1,Poncho Darner*
2-04-R-RWI,Islands,Rope Workshop (Islands),6,Rope,30,Output Resource,Rope*,1,N/A
